constituent_id,constituent_name,constituent_type,preferred_class_year,city,state,email,gift_id,gift_date,gift_amount,gift_type,campaign,designation,gift_officer
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,,G000001,2025-05-09,161.23,Pledge Payment,Unrestricted,Designation 11,Officer A
C02618,Skyler Foster,Friend,1991.0,Seattle,FL,,G000002,2025-10-05,580.21,Cash,Scholarships,Designation 08,Officer G
C00512,Avery Adams,Alumnus,1966.0,New York,CO,,G000003,2023-10-25,195.91,Cash,Library,Designation 08,Officer C
C02903,Casey Brooks,Friend,1980.0,Atlanta,FL,,G000004,2026-04-07,301.93,Cash,Annual Fund,Designation 12,Officer D
C04735,Reese Irwin,Alumnus,2012.0,New York,CO,,G000005,2023-02-19,218.69,Cash,Health Sciences,Designation 02,Officer E
C01074,Reese Brooks,Alumnus,2009.0,Atlanta,WA,,G000006,2025-11-23,300.11,Pledge Payment,Athletics,Designation 05,Officer H
C04108,Cameron Jones,Alumnus,1969.0,Miami,CO,,G000007,2021-07-06,598.32,Cash,Athletics,Designation 14,Officer H
C03263,Quinn Adams,Alumnus,2012.0,Denver,WA,,G000008,2022-04-09,61.46,Cash,Health Sciences,Designation 09,Officer C
C01358,Morgan Adams,Friend,1980.0,Denver,CO,,G000009,2023-11-21,510.69,Cash,Arts,Designation 14,Officer A
C00782,Avery Ellis,Alumnus,1980.0,Atlanta,IL,,G000010,2023-10-07,219.39,Pledge Payment,Arts,Designation 08,Officer F
C00688,Skyler Ellis,Organization,1992.0,Denver,GA,,G000011,2023-07-11,7554.02,Cash,Student Success,Designation 07,Officer H
C03046,Taylor Carter,Alumnus,1994.0,Dallas,CO,,G000012,2023-06-26,3335.62,Matching Gift,Scholarships,Designation 02,Officer F
C04820,Cameron Diaz,Alumnus,1957.0,Atlanta,IL,,G000013,2021-10-14,2655.02,Cash,Student Success,Designation 08,Officer E
C03851,Skyler Green,Friend,2003.0,Dallas,WA,,G000014,2021-08-14,8565.2,Cash,Capital Renewal,Designation 07,Officer B
C04512,Jordan Hayes,Parent,2000.0,Seattle,WA,,G000015,2022-06-03,243.53,Pledge Payment,Research,Designation 01,Officer G
C01960,Morgan Irwin,Alumnus,,Miami,TX,morgan.irwinc01960@example.org,G000016,2021-08-07,82.89,Cash,Research,Designation 04,Officer D
C00389,Avery Adams,Parent,,Atlanta,FL,avery.adamsc00389@example.org,G000017,2022-01-05,6332.83,Cash,Library,Designation 06,Officer C
C00488,Avery Irwin,Alumnus,,Denver,FL,avery.irwinc00488@example.org,G000018,2026-03-31,85.98,Cash,Health Sciences,Designation 02,Officer E
C03537,Taylor Jones,Organization,,Denver,NY,taylor.jonesc03537@example.org,G000019,2025-10-19,267.28,Cash,Arts,Designation 05,Officer E
C00621,Avery Irwin,Parent,,Miami,WA,avery.irwinc00621@example.org,G000020,2025-04-29,340.32,Matching Gift,Capital Renewal,Designation 04,Officer E
C01453,Quinn Irwin,Parent,,Denver,FL,quinn.irwinc01453@example.org,G000021,2023-06-03,2428.32,Pledge Payment,Capital Renewal,Designation 03,Officer F
C01711,Skyler Brooks,Alumnus,,Seattle,FL,skyler.brooksc01711@example.org,G000022,2024-10-24,722.82,Cash,Annual Fund,Designation 05,Officer F
C02193,Quinn Diaz,Alumnus,,New York,TX,quinn.diazc02193@example.org,G000023,2023-08-30,962.45,Pledge Payment,Health Sciences,Designation 03,Officer F
C04272,Reese Hayes,Friend,,Atlanta,NY,reese.hayesc04272@example.org,G000024,2024-11-25,1064.46,Pledge Payment,Library,Designation 07,Officer D
C00834,Reese Foster,Alumnus,,Boston,WA,reese.fosterc00834@example.org,G000025,2023-09-22,498.81,Stock,Research,Designation 14,Officer D
C01728,Riley Jones,Alumnus,,Seattle,WA,riley.jonesc01728@example.org,G000026,2024-09-22,256.2,Cash,Student Success,Designation 15,Officer B
C03483,Quinn Green,Organization,,New York,IL,quinn.greenc03483@example.org,G000027,2022-07-18,250.95,Pledge Payment,Athletics,Designation 02,Officer E
C03222,Avery Green,Alumnus,,Miami,TX,avery.greenc03222@example.org,G000028,2023-05-05,287.49,Cash,Annual Fund,Designation 04,Officer B
C01728,Riley Jones,Alumnus,,Seattle,WA,riley.jonesc01728@example.org,G000029,2025-04-13,47.91,Matching Gift,Health Sciences,Designation 11,Officer E
C04514,Casey Carter,Alumnus,,Seattle,WA,casey.carterc04514@example.org,G000030,2023-05-23,730.25,Cash,Annual Fund,Designation 11,Officer A
C03483,Quinn Green,Organization,1966.0,New York,ZZ,quinn.greenc03483@example.org,G000031,2026-04-14,381.46,Stock,Arts,Designation 15,Officer E
